date,value,inflation_adjustment
2015-01-01,98.59552578059578,1.4
2015-02-01,99.0261993061371,1.39
2015-03-01,99.60043067352554,1.38
2015-04-01,99.83012322048093,1.38
2015-05-01,100.3182198827611,1.37
2015-06-01,100.6914702715636,1.37
2015-07-01,100.6914702715636,1.37
2015-08-01,100.54791242971648,1.37
2015-09-01,100.40435458786936,1.37
2015-10-01,100.34693145113054,1.37
2015-11-01,100.14595047254457,1.38
2015-12-01,99.80141165211151,1.38
2016-01-01,99.97368106232804,1.38
2016-02-01,100.0598157674363,1.38
2016-03-01,100.49048929297764,1.37
2016-04-01,100.97858595525781,1.36
2016-05-01,101.38054791242975,1.36
2016-06-01,101.69637516449338,1.36
2016-07-01,101.55281732264625,1.36
2016-08-01,101.63895202775453,1.36
2016-09-01,101.8686445747099,1.35
2016-10-01,102.01220241655702,1.35
2016-11-01,101.83993300634049,1.35
2016-12-01,101.8973561430793,1.35
2017-01-01,102.47158751046777,1.34
2017-02-01,102.78741476253141,1.34
2017-03-01,102.87354946763969,1.34
2017-04-01,103.18937671970332,1.34
2017-05-01,103.2755114248116,1.33
2017-06-01,103.36164612991985,1.33
2017-07-01,103.30422299318103,1.33
2017-08-01,103.62005024524466,1.33
2017-09-01,104.16557004426367,1.32
2017-10-01,104.0794353391554,1.32
2017-11-01,104.10814690752484,1.32
2017-12-01,104.02201220241658,1.32
2018-01-01,104.59624356980501,1.32
2018-02-01,105.0843402320852,1.31
2018-03-01,105.28532121067113,1.31
2018-04-01,105.74470630458191,1.3
2018-05-01,106.17537983012323,1.3
2018-06-01,106.31893767197033,1.3
2018-07-01,106.34764924033975,1.3
2018-08-01,106.43378394544803,1.29
2018-09-01,106.54863021892574,1.29
2018-10-01,106.74961119751167,1.29
2018-11-01,106.40507237707861,1.3
2018-12-01,106.03182198827612,1.3
2019-01-01,106.23280296686208,1.3
2019-02-01,106.66347649240342,1.29
2019-03-01,107.26641942816129,1.28
2019-04-01,107.84065079554972,1.28
2019-05-01,108.0703433425051,1.28
2019-06-01,108.09905491087453,1.27
2019-07-01,108.30003588946046,1.27
2019-08-01,108.27132432109106,1.27
2019-09-01,108.38617059456874,1.27
2019-10-01,108.64457470989353,1.27
2019-11-01,108.58715157315469,1.27
2019-12-01,108.47230529967702,1.27
2020-01-01,108.87426725684892,1.27
2020-02-01,109.16138294054313,1.26
2020-03-01,108.96040196195717,1.26
2020-04-01,108.30003588946046,1.27
2020-05-01,108.30003588946046,1.27
2020-06-01,108.93169039358777,1.27
2020-07-01,109.47721019260679,1.26
2020-08-01,109.85046058140928,1.25
2020-09-01,109.99401842325638,1.25
2020-10-01,110.02272999162581,1.25
2020-11-01,109.93659528651753,1.25
2020-12-01,110.02272999162581,1.25
2021-01-01,110.51082665390597,1.25
2021-02-01,111.14248115803326,1.24
2021-03-01,111.9751166407465,1.23
2021-04-01,112.89388682856803,1.22
2021-05-01,113.89879172149779,1.21
2021-06-01,114.98983131953584,1.2
2021-07-01,115.53535111855486,1.19
2021-08-01,115.73633209714083,1.19
2021-09-01,116.05215934920446,1.19
2021-10-01,117.02835267376481,1.18
2021-11-01,117.57387247278383,1.17
2021-12-01,117.94712286158632,1.17
2022-01-01,118.9520277545161,1.16
2022-02-01,120.07177892092355,1.15
2022-03-01,121.70833831798062,1.13
2022-04-01,122.39741595884676,1.13
2022-05-01,123.7468596722096,1.11
2022-06-01,125.44084220600551,1.1
2022-07-01,125.4121306376361,1.1
2022-08-01,125.38341906926667,1.1
2022-09-01,125.64182318459147,1.1
2022-10-01,126.15863141524106,1.09
2022-11-01,126.04378514176338,1.09
2022-12-01,125.64182318459147,1.1
2023-01-01,126.64672807752126,1.09
2023-02-01,127.36451728675682,1.08
2023-03-01,127.76647924392873,1.08
2023-04-01,128.42684531642544,1.07
2023-05-01,128.74267256848907,1.07
2023-06-01,129.1733460940304,1.07
2023-07-01,129.40303864098576,1.06
2023-08-01,129.97727000837423,1.06
2023-09-01,130.29309726043786,1.06
2023-10-01,130.23567412369903,1.06
2023-11-01,129.97727000837423,1.06
2023-12-01,129.86242373489654,1.06
2024-01-01,130.55150137576265,1.06
2024-02-01,131.38413685847593,1.05
2024-03-01,132.21677234118917,1.04
2024-04-01,132.73358057183876,1.04
2024-05-01,132.96327311879415,1.04
2024-06-01,132.99198468716355,1.04
2024-07-01,133.16425409738008,1.03
2024-08-01,133.25038880248837,1.03
2024-09-01,133.4800813494437,1.03
2024-10-01,133.62363919129083,1.03
2024-11-01,133.566216054552,1.03
2024-12-01,133.59492762292143,1.03
2025-01-01,134.58170667516168,1.02
2025-02-01,134.884658024677,1.02
2025-03-01,134.92938343282276,1.02
2025-04-01,135.14752528198633,1.02
2025-05-01,135.28170150642347,1.02
2025-06-01,135.62558082377026,1.02
2025-07-01,135.93528317828876,1.01
2025-08-01,136.40869740413308,1.01
2025-09-01,136.81122607744456,1.01
2025-10-01,136.81122607744456,1.01
2025-11-01,137.15637120822944,1
2025-12-01,137.56480701091868,1
2026-01-01,137.79982637259008,1
